Arming,Date,Timestamp-TO,Disarming,Timestamp-LDG,Duration,ModelName
Arming,2025-02-17,21:52:32,Disarming,21:52:34,2.61,CA25_85mm
Arming,2025-02-17,21:52:35,Disarming,21:52:38,3.22,CA25_85mm
Arming,2025-02-17,21:52:50,Disarming,21:52:53,2.73,CA_HEX_130
Arming,2025-02-17,21:56:54,Disarming,21:57:02,8.21,CA_HEX_130
